epoch,loss_train,acc_train,acc_val,acc_train_pct,acc_val_pct
0,3.15681529045105,0.17563144862651825,0.2405855804681778,17.563144862651825,24.05855804681778
1,2.4530670642852783,0.33821901679039,0.4143264889717102,33.821901679039,41.43264889717102
2,1.7481162548065186,0.550400972366333,0.594788670539856,55.0400972366333,59.478867053985596
3,1.3419666290283203,0.68662428855896,0.7053678035736084,68.662428855896,70.53678035736084
4,1.1127326488494873,0.7641730904579163,0.6117300391197205,76.41730904579163,61.173003911972046
5,0.9581490159034729,0.8171783089637756,0.7935733199119568,81.71783089637756,79.35733199119568
6,0.8778456449508667,0.843911349773407,0.6701961159706116,84.3911349773407,67.01961159706116
7,0.8402066826820374,0.8546736836433411,0.7877727746963501,85.4673683643341,78.77727746963501
8,0.8114477396011353,0.8650442361831665,0.6767332553863525,86.50442361831665,67.67332553863525
9,0.7948488593101501,0.868662416934967,0.6608046889305115,86.8662416934967,66.08046889305115
10,0.755405068397522,0.8812223672866821,0.4535493850708008,88.12223672866821,45.35493850708008
11,0.7321808338165283,0.891224205493927,0.8141055107116699,89.1224205493927,81.41055107116699
12,0.7026952505111694,0.8993362784385681,0.8481723666191101,89.93362784385681,84.81723666191101
13,0.6713164448738098,0.9101447463035583,0.8443973660469055,91.01447463035583,84.43973660469055
14,0.6364752054214478,0.9224972128868103,0.841266930103302,92.24972128868103,84.1266930103302
15,0.6014747023582458,0.9348036646842957,0.8572875261306763,93.48036646842957,85.72875261306763
16,0.5760990977287292,0.9447363615036011,0.9146487712860107,94.47363615036011,91.46487712860107
17,0.5508420467376709,0.9515809416770935,0.9209097027778625,95.15809416770935,92.09097027778625
18,0.5342509746551514,0.9577802419662476,0.9240401387214661,95.77802419662476,92.4040138721466
19,0.5226105451583862,0.961951494216919,0.9353650808334351,96.1951494216919,93.5365080833435
