epoch,ann_val_acc,snn_val_acc,ann_train_acc,snn_train_acc,ann_train_loss,snn_train_loss,snn_spike_val
0,45.56670784950256,23.30356389284134,69.14868950843811,17.996405065059662,1.370003581047058,3.110653877258301,0.1185697689652443
1,75.12199878692627,38.27455937862396,86.97455525398254,40.81166982650757,0.8180981874465942,2.2197296619415283,0.10669290274381638
2,80.9870183467865,65.01243114471436,91.24723672866821,62.54839897155762,0.6912351250648499,1.5197348594665527,0.09243111312389374
3,61.614954471588135,63.889145851135254,92.94109344482422,75.412517786026,0.6340778470039368,1.1509019136428833,0.07454144954681396
4,82.26682543754578,79.94659543037415,94.23626661300659,82.75949358940125,0.5935892462730408,0.9403881430625916,0.05617380514740944
5,93.62857937812805,83.31645131111145,95.70658206939697,86.80862784385681,0.5449126362800598,0.817540168762207,0.04412571340799332
6,89.62342143058777,71.66006565093994,96.418696641922,88.73525261878967,0.5233193635940552,0.7607436180114746,0.03292689099907875
7,88.84080648422241,83.60188007354736,96.65606617927551,89.77000117301941,0.5081278085708618,0.7246825695037842,0.02896583080291748
8,95.90277075767517,81.85250163078308,97.09393382072449,90.668785572052,0.493596613407135,0.6956731677055359,0.021657804027199745
9,95.41478753089905,71.3746428489685,97.37509489059448,89.64325189590454,0.4795236885547638,0.7222555875778198,0.01901143789291382
10,96.13295197486877,80.64634799957275,97.8175699710846,91.16888046264648,0.4682846665382385,0.6785620450973511,0.01406133733689785
11,96.24344110488892,87.10063695907593,98.14712405204773,90.03041982650757,0.4525538980960846,0.7085158228874207,0.012982998043298721
12,94.11656260490417,89.14464712142944,98.41906428337097,92.44561195373535,0.4406917989253998,0.6362807750701904,0.013114831410348415
13,95.7278311252594,84.91851687431335,98.93068075180054,93.51032376289368,0.42509138584136963,0.6032790541648865,0.01171788014471531
14,98.54525327682495,89.62342143058777,99.262535572052,94.55890655517578,0.41167977452278137,0.5746369957923889,0.011642929166555405
15,98.93195629119873,90.80195426940918,99.50912594795227,95.45769095420837,0.40072107315063477,0.5513309836387634,0.011778615415096283
16,98.97799491882324,93.08534860610962,99.73036646842957,95.97621560096741,0.39224791526794434,0.5312623381614685,0.011130761355161667
17,99.19896721839905,93.99687051773071,99.84790086746216,96.89574241638184,0.38707444071769714,0.5046972632408142,0.011941692791879177
18,99.31866526603699,94.04290318489075,99.87094402313232,97.23912477493286,0.3847807049751282,0.49179136753082275,0.01142794918268919
19,99.31866526603699,95.12936472892761,99.89168643951416,97.63550758361816,0.38363271951675415,0.482926607131958,0.011511160992085934
