epoch,loss_train,acc_train,acc_val,acc_train_pct,acc_val_pct
0,3.2262802124023438,0.1748572289943695,0.22576190531253815,17.48572289943695,22.576190531253815
1,2.657987594604492,0.30922991037368774,0.3847711980342865,30.922991037368774,38.47711980342865
2,1.9517756700515747,0.49785831570625305,0.5006905198097229,49.785831570625305,50.06905198097229
3,1.513090968132019,0.6268653273582458,0.6152287721633911,62.686532735824585,61.52287721633911
4,1.267853021621704,0.7106208801269531,0.666513204574585,71.06208801269531,66.6513204574585
5,1.0872414112091064,0.7703343629837036,0.7477211952209473,77.03343629837036,74.77211952209473
6,1.0076743364334106,0.7994887828826904,0.6345640420913696,79.94887828826904,63.45640420913696
7,0.9359196424484253,0.8223793506622314,0.8012153506278992,82.23793506622314,80.12153506278992
8,0.8885843753814697,0.8387067317962646,0.7683454751968384,83.87067317962646,76.83454751968384
9,0.8579068779945374,0.8479412198066711,0.7980849146842957,84.79412198066711,79.80849146842957
10,0.8225539922714233,0.8609985113143921,0.7456035614013672,86.09985113143921,74.56035614013672
11,0.7781620025634766,0.8764738440513611,0.8199981451034546,87.64738440513611,81.99981451034546
12,0.7487574219703674,0.8844187259674072,0.8045299649238586,88.44187259674072,80.45299649238586
13,0.7099102735519409,0.8976602554321289,0.8051744699478149,89.76602554321289,80.5174469947815
14,0.6692305207252502,0.9123756289482117,0.8899732828140259,91.23756289482117,88.99732828140259
15,0.6269587278366089,0.9269989132881165,0.8896049857139587,92.69989132881165,88.96049857139587
16,0.5934724807739258,0.9385362863540649,0.9162139892578125,93.8536286354065,91.62139892578125
17,0.5568048357963562,0.9506954550743103,0.9344443678855896,95.06954550743103,93.44443678855896
18,0.5313703417778015,0.95923912525177,0.9404290318489075,95.923912525177,94.04290318489075
19,0.5144754648208618,0.9654569029808044,0.94429612159729,96.54569029808044,94.429612159729
